Ticket #,Customer Complaint,Date,Date_month_year,Time,Received Via,City,State,Zip code,Status,Filing on Behalf of Someone,Hour
250635,disney cable internet speeds,22-04-2015,22-Apr-15,1900-01-01 15:53:50,Customer Care Call,Abingdon,Maryland,21009,Closed,No,15.0
223441,payment disappear - service got disconnected,04-08-2015,4-Aug-15,1900-01-01 10:22:56,Internet,Acworth,Georgia,30102,Closed,No,10.0
242732,speed and service,18-04-2015,18-Apr-15,1900-01-01 09:55:47,Internet,Acworth,Georgia,30101,Closed,Yes,9.0
277946,disney imposed a new usage cap of 300gb that punishes streaming.,05-07-2015,5-Jul-15,1900-01-01 11:59:35,Internet,Acworth,Georgia,30101,Open,Yes,11.0
307175,disney not working and no service to boot,26-05-2015,26-May-15,1900-01-01 13:25:26,Internet,Acworth,Georgia,30101,Solved,No,13.0
338519,isp charging for arbitrary data limits with overage fees,06-12-2015,6-Dec-15,1900-01-01 21:59:40,Internet,Acworth,Georgia,30101,Solved,No,21.0
361148,throttling service and unreasonable data caps,24-06-2015,24-Jun-15,1900-01-01 10:13:55,Customer Care Call,Acworth,Georgia,30101,Pending,No,10.0
359792,disney refuses to help troubleshoot and correct my service.,23-06-2015,23-Jun-15,1900-01-01 18:56:14,Internet,Adrian,Michigan,49221,Solved,No,18.0
318072,disney extended outages,06-01-2015,6-Jan-15,1900-01-01 23:46:30,Customer Care Call,Alameda,California,94502,Closed,No,23.0
371214,disney raising prices and not being available to ask why,28-06-2015,28-Jun-15,1900-01-01 18:46:31,Customer Care Call,Alameda,California,94501,Open,Yes,18.0
255938,billing after service was asked to be disconnected,24-04-2015,24-Apr-15,1900-01-01 16:40:36,Internet,Albuquerque,New Mexico,87106,Closed,No,16.0
276409,yahoo failure to restore email search feature,05-06-2015,5-Jun-15,1900-01-01 15:09:49,Customer Care Call,Albuquerque,New Mexico,87109,Closed,No,15.0
339282,disney violating open internet rules by blocking hbo go access on sony consoles,13-06-2015,13-Jun-15,1900-01-01 16:03:18,Internet,Albuquerque,New Mexico,87105,Open,Yes,16.0
360178,internet speed,23-06-2015,23-Jun-15,1900-01-01 21:23:23,Internet,Albuquerque,New Mexico,87113,Solved,No,21.0
376268,internet disconnects every night,30-06-2015,30-Jun-15,1900-01-01 22:30:02,Customer Care Call,Albuquerque,New Mexico,87116,Solved,No,22.0
370137,internet complaint,27-06-2015,27-Jun-15,1900-01-01 15:25:03,Customer Care Call,Albuquerqur,New Mexico,87102,Pending,No,15.0
363695,internet availability and speed,24-06-2015,24-Jun-15,1900-01-01 23:47:33,Customer Care Call,Alexandria,Indiana,46001,Solved,No,23.0
238694,disney owes me $65 and claims i need to return equipment i never had,16-04-2015,16-Apr-15,1900-01-01 10:04:57,Internet,Alexandria,Virginia,22304,Closed,No,10.0
230876,horrible internet service,04-11-2015,4-Nov-15,1900-01-01 19:48:05,Customer Care Call,Alexandria,Virginia,22305,Closed,No,19.0
318725,failure to provide services that i am billed for.,06-02-2015,6-Feb-15,1900-01-01 13:03:52,Customer Care Call,Alexandria,Virginia,22314,Closed,No,13.0
327657,internet out all the time but they have a monopoly,06-07-2015,6-Jul-15,1900-01-01 20:55:43,Customer Care Call,Alexandria,Virginia,22305,Solved,No,20.0
328742,horrible cable service and customer service,06-08-2015,6-Aug-15,1900-01-01 15:18:58,Internet,Alexandria,Virginia,22312,Solved,No,15.0
328165,speed,06-08-2015,6-Aug-15,1900-01-01 12:03:37,Customer Care Call,Alexandria,Virginia,22304,Solved,No,12.0
370538,disney monopoly bundling practices,27-06-2015,27-Jun-15,1900-01-01 21:04:34,Internet,Alexandria,Virginia,22304,Open,No,21.0
370363,disney!,27-06-2015,27-Jun-15,1900-01-01 18:37:29,Internet,Alexandria,Virginia,22305,Solved,No,18.0
270163,bait and switch,05-02-2015,5-Feb-15,1900-01-01 15:55:24,Internet,Algonquin,Illinois,60102,Open,Yes,15.0
355976,disney customer service,22-06-2015,22-Jun-15,1900-01-01 14:10:39,Internet,Aliquippa,Pennsylvania,15001,Open,No,14.0
260651,apartment management's exclusivity contract with disney,28-04-2015,28-Apr-15,1900-01-01 08:01:46,Customer Care Call,Allston,Massachusetts,2134,Closed,No,8.0
305340,unable to reach a disney agent for internet and billing issues.,24-05-2015,24-May-15,1900-01-01 14:57:47,Customer Care Call,Aloha,Oregon,97006,Solved,No,14.0
360759,wifi internet not working as well,24-06-2015,24-Jun-15,1900-01-01 02:23:23,Internet,Aloha,Oregon,97006,Pending,No,2.0
265487,disney data caps,29-04-2015,29-Apr-15,1900-01-01 21:40:19,Internet,Alpharetta,Georgia,30022,Closed,No,21.0
296608,disney internet data cap,19-05-2015,19-May-15,1900-01-01 10:56:20,Internet,Alpharetta,Georgia,30022,Solved,No,10.0
310990,xfinity movers edge program,28-05-2015,28-May-15,1900-01-01 10:37:13,Customer Care Call,Alpharetta,Georgia,30022,Solved,No,10.0
325342,disney data internet usage,06-05-2015,6-May-15,1900-01-01 13:25:58,Internet,Alpharetta,Georgia,30022,Solved,No,13.0
337489,disney not refunding my credit,06-12-2015,6-Dec-15,1900-01-01 15:59:57,Internet,Alpharetta,Georgia,30005,Solved,No,15.0
